Key,Description,Standard
SAY.Switch.3.,,The lights are not coming on! I need to do what Seth says quickly!
SAY.Doors.1.,,I don't need to go there right now!
SAY.Doors.10.,,I am afraid to go outside! What if there are demons there?
SAY.Doors.19.,,I don't really need to go to the bathroom.
SAY.Doors.28.,,I need to find candles and chalk in the storage! Nothing else matters now!
SAY.Start.31.,,"YESSS!! YEHEHEHESSS!! NOW THE TIME HAS COME, YOUR SOUL WILL BE OURS!"
SAY.Start.32.,,THE SALVATION PROJECT! IT IS FINALLY COMPLETED!\nTHE HOLLOW STAR  HAS AWAKENED AND YOU WERE IT'S ORIGINATOR!
SAY.Start.48.,,"PERISH YOU NAIVE WENCH, AND SUCCUMB TO THE WILL OF OUR DARK LORD!"
SAY.Start.50.,,
SAY.Switch.1.,,
SAY.Pentagram.11.,,I need to find all materials in a storage!
SAY.Pentagram.25.,,I need to talk with Seth at first.
SAY.Pentagram.35.,,"THATS' IT!\nNow, draw the sacred pentagram, and place the candles on the edges of the forsaken star!"
SAY.Pentagram.37.,,The Lord Demands it! The Lord is Coming!
SAY.Start.22.,,Focus now!
SAY.Start.24.,,"Get the chalk and candles from storage, lighter from the kitchen, and DON'T forget the lighter! "
SAY.Start.35.,,The storage room is right across the corridor!
SAY.Start.25.,,"Then, and ONLY then get back to me, and we'll begin the ritual."
SAY.TV Dialogue (1).102.,,HEYA THERE MISSUS!
SAY.TV Dialogue (1).103.,,I SEE YOU'RE BACK AGAIN FOR THE DAILY WISDOM!
SAY.TV Dialogue (1).104.,,YOU ARE UNDER ATTACK!
SAY.TV Dialogue (1).105.,,YOUR LIFE IS UNDER ATTACK!
SAY.TV Dialogue (1).106.,,YOUR SOUL IS UNDER ATTACK!
SAY.TV Dialogue (1).107.,,WE HAVE TO GO FOR THE NUCLEAR OPTION - YOU HAVE TO CALL FOR HELP!
SAY.TV Dialogue (1).108.,,"LUCKILY, OUR MANAGER KNOWS THE CORRECT RITUAL, TO SUMMON A GUARDIAN ANGEL FOR YOUR HOME!"
SAY.TV Dialogue (1).109.,,DO IT! NOW! DO IT! NOW!
