Key,Description,Standard
SAY.Dialogue.3.,,Karen: What was that? What is happening?
SAY.Dialogue.5.,,Everything is back to normal...
SAY.Dialogue.4.,,I should go and pick up that phone.
SAY.Flowchart.7.,,What are these wailings? What is happening? What am i....
SAY.Flowchart.32.,,"Man in the phone: Mam? Hello mam, can you hear me?"
SAY.Flowchart.33.,,"You stopped responding to my calls a week ago, is everything okay?"
SAY.Flowchart.34.,,Do you take your medication daily?
SAY.Flowchart.35.,,Karen: I need help....
SAY.Flowchart.52.,,I want to see my family again.
SAY.TV Dialogue (1).102.,,HEYA THERE MISSUS!
SAY.TV Dialogue (1).103.,,I SEE YOU'RE BACK AGAIN FOR THE DAILY WISDOM!
SAY.TV Dialogue (1).104.,,YOU ARE UNDER ATTACK!
SAY.TV Dialogue (1).105.,,YOUR LIFE IS UNDER ATTACK!
SAY.TV Dialogue (1).106.,,YOUR SOUL IS UNDER ATTACK!
SAY.TV Dialogue (1).107.,,WE HAVE TO GO FOR THE NUCLEAR OPTION - YOU HAVE TO CALL FOR HELP!
SAY.TV Dialogue (1).108.,,"LUCKILY, OUR MANAGER KNOWS THE CORRECT RITUAL, TO SUMMON A GUARDIAN ANGEL FOR YOUR HOME!"
SAY.TV Dialogue (1).109.,,DO IT! NOW! DO IT! NOW!
