Key,Description,Standard
SAY.TV Dialogue (1).39.,,"LADIES AND GENTELMEN, WELCOME!"
SAY.TV Dialogue (1).5.,,"MY NAME IS SETH, AND TODAY'S PUBLIC SERVICE ANNOUNCEMENT IS DEDICATED TO: YOUR FEARS!"
SAY.TV Dialogue (1).6.,,THIS PROGRAM IS BROUGHT TO YOU BY THE SALVATION PROJECT.
SAY.TV Dialogue (1).7.,,And what fear are we going to be discussing today?
MENU.TV Dialogue (1).10,,Spiders
MENU.TV Dialogue (1).12,,The Nuclear War
MENU.TV Dialogue (1).13,,Satanism
SAY.TV Dialogue (1).76.,,THAT'S RIGHT!
SAY.TV Dialogue (1).77.,,SATANISM!
SAY.TV Dialogue (1).78.,,"Satanism is a great danger to our citizens, and we aaaall should be on our toes!"
SAY.TV Dialogue (1).79.,,"It's a danger to our souls, to our world, and OUR way of living!"
SAY.TV Dialogue (1).80.,,And this Danger strikes where it hurts most - our children!
SAY.TV Dialogue (1).81.,,"To make sure your kids are safe, you should locate the satanic objects in your household before it's too late!"
SAY.TV Dialogue (1).82.,,"The typical satanic object includes: satanic audiotapes, satanic posters, or satanic books. "
SAY.TV Dialogue (1).98.,,"Beware, these can be hidden in plain sight!"
SAY.TV Dialogue (1).83.,,"And on that, we wish your family luck, in searching and destroying the threats inside your home!"
SAY.TV Dialogue (1).84.,,"Be careful, because if you don't care, THEY WILL."
SAY.TV Dialogue (1).99.,,This has been a broadcast from the Salvation Project. Until next time!\nSeth out!
